"escopo";"codigo";"recurso";"acao";"origem";"descricao"
"chefia";"afastamentos:consultar:chefia";"afastamentos";"consultar";"declarada explicitamente";"Consultar afastamentos de servidores subordinados à chefia ou delegação vigente."
"global";"banco-horas:visualizar:global";"banco-horas";"visualizar";"gerada automaticamente";"Visualizar próprio banco de horas. Abrangencia: global."
"global";"biometria:cadastrar:global";"biometria";"cadastrar";"gerada automaticamente";"Cadastrar a própria biometria facial. Abrangencia: global."
"global";"biometria:consultar:global";"biometria";"consultar";"gerada automaticamente";"Consultar o próprio cadastro biométrico facial. Abrangencia: global."
"global";"biometria:validar:global";"biometria";"validar";"gerada automaticamente";"Validar marcação com biometria facial própria. Abrangencia: global."
"global";"biometriafacial:cadastrar:global";"biometriafacial";"cadastrar";"gerada automaticamente";"Cadastrar biometria facial de terceiros. Abrangencia: global."
"global";"biometriafacial:recadastrar:global";"biometriafacial";"recadastrar";"gerada automaticamente";"Recadastrar biometria facial de terceiros. Abrangencia: global."
"global";"biometriafacial:registrar:global";"biometriafacial";"registrar";"gerada automaticamente";"Usar reconhecimento facial no registro do proprio ponto. Abrangencia: global."
"global";"boletim-frequencia:encaminhar:global";"boletim-frequencia";"encaminhar";"gerada automaticamente";"Encaminhar Boletim de Frequência à SECAP/NUCGP. Abrangencia: global."
"global";"boletim-frequencia:gerar:global";"boletim-frequencia";"gerar";"gerada automaticamente";"Gerar Boletim de Frequência da unidade homologada. Abrangencia: global."
"global";"boletim-frequencia:visualizar:global";"boletim-frequencia";"visualizar";"gerada automaticamente";"Visualizar próprio boletim de frequência. Abrangencia: global."
"global";"contracheque:consultar:global";"contracheque";"consultar";"gerada automaticamente";"Consultar e exportar o próprio contracheque diretamente no SARH. Abrangencia: global."
"global";"dashboard:visualizar:global";"dashboard";"visualizar";"gerada automaticamente";"Visualizar dashboard próprio. Abrangencia: global."
"global";"espelho-ponto:visualizar:global";"espelho-ponto";"visualizar";"gerada automaticamente";"Visualizar próprio espelho de ponto. Abrangencia: global."
"global";"horas-extras:analisar:global";"horas-extras";"analisar";"gerada automaticamente";"Analisar solicitacoes de servico extraordinario como chefia ou delegado. Abrangencia: global."
"global";"horas-extras:analisar-excecao:global";"horas-extras";"analisar-excecao";"declarada explicitamente";"Analisar excecoes de calculo de servico extraordinario."
"global";"horas-extras:aprovar-parcial:global";"horas-extras";"aprovar-parcial";"declarada explicitamente";"Aprovar parcialmente solicitacoes de servico extraordinario."
"global";"horas-extras:auditar:global";"horas-extras";"auditar";"declarada explicitamente";"Auditar solicitacoes, calculos e lotes de servico extraordinario."
"global";"horas-extras:cancelar:global";"horas-extras";"cancelar";"gerada automaticamente";"Cancelar solicitacoes proprias de servico extraordinario ainda permitidas pelo fluxo. Abrangencia: global."
"global";"horas-extras:cancelar-autorizacao:global";"horas-extras";"cancelar-autorizacao";"declarada explicitamente";"Cancelar ou substituir autorizacoes de servico extraordinario."
"global";"horas-extras:encaminhar-orcamento:global";"horas-extras";"encaminhar-orcamento";"gerada automaticamente";"Encaminhar solicitacoes de servico extraordinario para analise orcamentaria. Abrangencia: global."
"global";"horas-extras:reprocessar:global";"horas-extras";"reprocessar";"declarada explicitamente";"Reprocessar calculos de servico extraordinario."
"global";"horas-extras:solicitar:global";"horas-extras";"solicitar";"gerada automaticamente";"Criar solicitacoes de servico extraordinario para servidores da unidade. Abrangencia: global."
"global";"horas-extras:visualizar:global";"horas-extras";"visualizar";"gerada automaticamente";"Visualizar as proprias solicitacoes e autorizacoes de servico extraordinario. Abrangencia: global."
"global";"integracoes-sarh:resolver-conflito:global";"integracoes-sarh";"resolver-conflito";"declarada explicitamente";"Resolver conflitos entre dados do SARH e dados protegidos do SECP."
"global";"integracoes-sarh:visualizar-payload:global";"integracoes-sarh";"visualizar-payload";"declarada explicitamente";"Visualizar payload bruto do SARH, com cuidados de LGPD."
"global";"jornada:visualizar:global";"jornada";"visualizar";"gerada automaticamente";"Visualizar própria jornada. Abrangencia: global."
"global";"jornadas:gerenciar-politicas:global";"jornadas";"gerenciar-politicas";"declarada explicitamente";"Gerenciar políticas de jornada."
"global";"marcacoes:registrar:global";"marcacoes";"registrar";"gerada automaticamente";"Registrar a própria marcação de ponto. Abrangencia: global."
"global";"marcacoes:registrar-facial:global";"marcacoes";"registrar-facial";"gerada automaticamente";"Registrar marcação por reconhecimento facial. Abrangencia: global."
"global";"marcacoes:registrar-web:global";"marcacoes";"registrar-web";"gerada automaticamente";"Registrar marcação via sistema web. Abrangencia: global."
"global";"marcacoes:visualizar:global";"marcacoes";"visualizar";"gerada automaticamente";"Visualizar próprias marcações. Abrangencia: global."
"global";"recesso:aceitar:global";"recesso";"aceitar";"gerada automaticamente";"Aceitar homologacao do recesso pela SECAD. Abrangencia: global."
"global";"recesso:fechar:global";"recesso";"fechar";"gerada automaticamente";"Fechar o proprio espelho de recesso. Abrangencia: global."
